headline,text,outlet,resp_direction,sci_direction,resp_net_score,sci_net_score,manual_resp_code,manual_sci_code
Trump and Fauci: America's future hangs on this delicate relationship,"Trump and Fauci: America's future hangs on this delicate relationship <p>The coronavirus pandemic has created an unlikely pairing as a fearful nation looks to the two men to save it from further disaster</p><ul><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – live US updates</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Live global updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,negative,absent,-0.0222222222222222,0.0,,
Biden has all but won the nomination – and Trump is looking vulnerable,"Biden has all but won the nomination – and Trump is looking vulnerable <p>Amid a botched response to the coronavirus, Democrats aren’t just looking for electability – they want competence</p>",Guardian,negative,absent,-0.0344827586206896,0.0,,
Pfizer/BioNTech Covid vaccine approved by panel clearing way for FDA authorization for emergency use – as it happened,"Pfizer/BioNTech Covid vaccine approved by panel clearing way for FDA authorization for emergency use – as it happened <ul><li>FDA’s expected approval will allow millions of doses to be shipped</li><li>3,124 deaths sets new record two weeks after Thanksgiving holiday</li><li>President Trump makes no public comment on death toll</li><li><a href=""https://www.theguardian.com/world/2020/dec/09/coronavirus-us-intensive-care-beds-crisis"">Crunch time for intensive care beds as US faces dark pandemic winter</a></li><li><a href=""https://www.theguardian.com/us-news/2020/dec/09/joe-biden-nominate-katherine-tai-us-trade-envoy"">Biden reportedly set to nominate Katherine Tai as top US trade envoy</a></li><li><a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">Sign up to receive First Thing – our daily briefing by email</a></li></ul>",Guardian,negative,absent,-0.0235294117647058,0.0,,
Donald Trump stokes fresh coronavirus row as Wuhan reopens,"Donald Trump stokes fresh coronavirus row as Wuhan reopens <p>US president accuses World Health Organization of China bias as New York records its highest daily death toll and Wuhan lockdown eases</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,negative,absent,-0.0512820512820512,0.0,,
Pandemic shines harsh light on Trump's failure to protect pangolins,"Pandemic shines harsh light on Trump's failure to protect pangolins <p>Wildlife conservation efforts are essential to preventing outbreaks, scientists and advocates say</p><ul><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – live US updates</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Live global updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,negative,absent,-0.0294117647058823,0.0,,
"If I were Donald Trump's speechwriter, this is the team talk I would suggest","If I were Donald Trump's speechwriter, this is the team talk I would suggest <p>The president seems incapable of uniting the country. So, as the Covid-19 pandemic continues to take a toll on America, I wrote him a speech</p>",Guardian,negative,absent,-0.0256410256410256,0.0,,
Global report: Trump says he ordered coronavirus testing to 'slow down',"Global report: Trump says he ordered coronavirus testing to 'slow down' <p>Testing a ‘double-edged sword’, says Trump; Chile death toll nearly doubles; Australian state ‘absolutely at risk’ of second peak</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a><br></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,negative,absent,-0.0526315789473684,0.0,,
"'Very worst of the pandemic' ahead in US with no apparent strategy, experts say","'Very worst of the pandemic' ahead in US with no apparent strategy, experts say <p>After Trump’s election loss, no plan visible for next two months as cold weather and holidays approach</p>",Guardian,negative,absent,-0.03125,0.0,,
"Melania & Me: Ivanka Trump sought to undermine first lady, new book says","Melania & Me: Ivanka Trump sought to undermine first lady, new book says <ul><li>Details from ex-aide’s memoir revealed before key convention speech</li><li>Author suggests Trump daughter behind 2016 plagiarism fiasco</li><li><a href=""https://www.theguardian.com/us-news/live/2020/aug/25/donald-trump-republican-national-convention-rnc-coronavirus-covid-19"">US politics – live coverage</a></li></ul>",Guardian,negative,absent,-0.0294117647058823,0.0,,
UK coronavirus live: local lockdown imposed in Aberdeen; official UK death toll rises by 65 – as it happened,"UK coronavirus live: local lockdown imposed in Aberdeen; official UK death toll rises by 65 – as it happened <p>Nicola Sturgeon <a href=""https://www.theguardian.com/uk-news/2020/aug/05/emergency-lockdown-in-aberdeen-after-surge-in-covid-19-cases-pubs-restaurants-travel"">orders closure</a> of pubs and restaurants, plus bans on non-essential travel and indoor meetings. This live blog is now closed,<a href=""https://www.theguardian.com/world/live/2020/aug/05/coronavirus-live-news-trump-pressed-on-false-death-rate-claim-as-europe-faces-second-wave""> please follow the global live blog for latest updates</a></p><ul><li><a href=""https://www.theguardian.com/uk-news/2020/aug/05/emergency-lockdown-in-aberdeen-after-surge-in-covid-19-cases-pubs-restaurants-travel"">Emergency lockdown in Aberdeen could extend to other towns</a></li></ul>",Guardian,negative,absent,-0.0344827586206896,0.0,,
"Trump is culpable in deaths of Americans, says Noam Chomsky","Trump is culpable in deaths of Americans, says Noam Chomsky <p>Professor argues US president is stabbing citizens in back while pretending to be saviour</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,negative,absent,-0.03125,0.0,,
Two more Ruby Princess passengers die in NSW – as it happened,"Two more Ruby Princess passengers die in NSW – as it happened <p>There is more evidence Australia is flattening the curve of infections though the death toll has continued to grow. This blog is now closed</p><ul><li><a href=""https://www.theguardian.com/world/live/2020/apr/12/coronavirus-live-pope-easter-lockdown-us-death-toll-uk-boris-johnson-donald-trump-"">Follow our global coronavirus live updates</a></li><li><a href=""https://www.theguardian.com/australia-news/2020/apr/13/are-schools-open-closed-term-2-australia-coronavirus-easter-holidays"">Are schools open or closed for term 2? State-by-state guide</a></li><li><a href=""https://www.theguardian.com/newsletters/2020/mar/28/sign-up-for-guardian-australias-daily-coronavirus-email?CMP=cvau_sfl"">Sign up for Guardian Australia’s daily coronavirus email</a></li><li><a href=""https://www.theguardian.com/technology/ng-interactive/2018/may/15/the-guardian-app?CMP=cvau_sfl"">Download the free Guardian app to get the most important news notifications</a></li><li><a href=""https://www.theguardian.com/australia-news/datablog/ng-interactive/2020/mar/30/coronavirus-cases-in-australia-map-confirmed-numbers-stats-how-many-cases-of-covid-19-nsw-maps-victoria-live-data-qld-sa-wa-tas-nt-latest-statistics-update?CMP=cvau_sfl"">Coronavirus Australia maps and cases: live numbers and statistics</a></li></ul>",Guardian,negative,absent,-0.0246913580246913,0.0,,
UK coronavirus: government says counting of tests unchanged amid claims tally is inflated – as it happened,"UK coronavirus: government says counting of tests unchanged amid claims tally is inflated – as it happened <p>Matt Hancock says UK has passed 100,000 testing target; daily death toll at 739; major care home provider criticises Boris Johnson and calls testing regime ‘shambolic’</p><ul><li><a href=""https://www.theguardian.com/world/2020/may/01/us-germ-warfare-lab-creates-test-for-pre-infectious-covid-19-carriers"">Exclusive: US germ warfare lab creates test for pre-infectious Covid-19</a></li><li><a href=""https://www.theguardian.com/society/2020/may/01/revealed-nhs-procurement-official-privately-selling-ppe"">Revealed: NHS procurement official privately selling PPE</a></li><li><a href=""https://www.theguardian.com/politics/2020/may/01/boris-johnson-is-back-but-has-he-changed-coronavirus"">Boris Johnson is back. But has he changed?</a></li><li><a href=""https://www.theguardian.com/world/2020/may/01/could-covid-19-be-manmade-what-we-know-about-origins-trump-chinese-lab-coronavirus"">Where did Covid-19 come from? What we know about its origins</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest global updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,negative,absent,-0.0227272727272727,0.0,,
Global report: Trump threatens to pull out of WHO over 'failed response' to pandemic,"Global report: Trump threatens to pull out of WHO over 'failed response' to pandemic <p>WHO showed ‘alarming lack of independence’ from China, Trump claims; US president says he is taking hydroxychloroquine; Brazil has third highest infections</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,negative,negative,-0.0227272727272727,-0.0227272727272727,,
Global report: Trump wrongly claims Covid affects 'virtually' no young people,"Global report: Trump wrongly claims Covid affects 'virtually' no young people <p>US death toll nears 200,000; England to introduce curfews for pubs, bars, restaurants; Czech PM admits mistake in easing restrictions</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,negative,absent,-0.05,0.0,,
Fauci rebukes Trump Covid claims but offers 'no excuses' for vaccine delays,"Fauci rebukes Trump Covid claims but offers 'no excuses' for vaccine delays <ul><li>US death toll passes 350,000 as inoculations remain scarce</li><li>Administration asks Moderna to half dosage</li><li><a href=""https://www.theguardian.com/world/2021/jan/02/hundreds-thousands-more-us-covid-deaths-likely-vaccine-delay"">Hundreds of thousands more deaths feared in vaccine chaos</a><br></li></ul>",Guardian,negative,absent,-0.081081081081081,0.0,,
"Max Brooks: 'Pandemics come in predictable cycles. If I'm the smartest guy in the room, we're in big trouble'","Max Brooks: 'Pandemics come in predictable cycles. If I'm the smartest guy in the room, we're in big trouble' <p>The World War Z author talks about how science fiction turned him into a disaster expert, Donald Trump, and growing up with parents Mel Brooks and Anne Bancroft </p>",Guardian,negative,absent,-0.0212765957446808,0.0,,
"Trump likened diplomacy with Kim Jong-un to dating, Bolton says","Trump likened diplomacy with Kim Jong-un to dating, Bolton says <ul><li>Trump ‘wanted to be the one who broke up with the girl first’</li><li>Bolton says failed denuclearization effort a factor in resignation</li><li><a href=""https://www.theguardian.com/us-news/live/2020/jun/22/john-bolton-donald-trump-protests-coronavirus-phoenix-speech-latest-news-updates"">US politics – live coverage</a></li></ul>",Guardian,negative,absent,-0.0277777777777777,0.0,,
Scott Atlas resigns as Trump pandemic adviser after controversial tenure,Scott Atlas resigns as Trump pandemic adviser after controversial tenure <p>Neuroradiologist who has no expertise in infectious diseases downplayed the threat of coronavirus</p>,Guardian,negative,absent,-0.0869565217391304,0.0,,
"Government says it’s ‘too early’ to say when UK lockdown will end as death toll reaches 5,373 – as it happened","Government says it’s ‘too early’ to say when UK lockdown will end as death toll reaches 5,373 – as it happened <p>Dominic Raab confirms he has not spoken to Boris Johnson since Saturday. This liveblog is no longer being updated</p><ul><li><a href=""https://www.theguardian.com/world/live/2020/apr/06/coronavirus-live-news-boris-johnson-admitted-to-hospital-as-trump-again-touts-hydroxychloroquine#block-5e8b7fa88f08c9eaf0dafb13""><strong>Latest news: Boris Johnson admitted to intensive care</strong></a></li></ul>",Guardian,negative,absent,-0.0408163265306122,0.0,,
Trump delivers White House coronavirus briefing without public health experts – as it happened,"Trump delivers White House coronavirus briefing without public health experts – as it happened <ul><li><a href=""https://www.theguardian.com/us-news/live/2020/jul/21/coronavirus-covid-19-donald-trump-mike-pompeo-china-joe-biden-portland-live-updates?page=with:block-5f175a198f088024316ac8a7#block-5f175a198f088024316ac8a7"">President uses racist term and says crisis ‘will get worse before it gets better’</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/jul/21/coronavirus-covid-19-donald-trump-mike-pompeo-china-joe-biden-portland-live-updates?page=with:block-5f174ad88f088024316ac816#block-5f174ad88f088024316ac816"">Anthony Fauci says he was not invited to press conference</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/jul/21/coronavirus-covid-19-donald-trump-mike-pompeo-china-joe-biden-portland-live-updates?page=with:block-5f1722db8f088024316ac68d#block-5f1722db8f088024316ac68d"">Trump signs executive order to exclude undocumented people from census</a><br></li><li><a href=""https://www.theguardian.com/us-news/live/2020/jul/21/coronavirus-covid-19-donald-trump-mike-pompeo-china-joe-biden-portland-live-updates?page=with:block-5f172fab8f08f2d75cbbebd3#block-5f172fab8f08f2d75cbbebd3"">Biden says Trump has ‘quit on this country’</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/jul/21/coronavirus-covid-19-donald-trump-mike-pompeo-china-joe-biden-portland-live-updates?page=with:block-5f16fc858f088024316ac3cb#block-5f16fc858f088024316ac3cb"">McConnell outlines Republican coronavirus relief bill</a><br></li><li><a href=""https://www.theguardian.com/world/2020/jul/21/coronavirus-data-flying-blind-trump-us-failure"">US failure to report vital coronavirus data is hobbling response</a></li><li>Sign up to our <a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">First Thing newsletter</a><br></li></ul>",Guardian,negative,positive,-0.0128205128205128,0.0256410256410256,,
Wednesday briefing: Daily UK Covid deaths worst since May,"Wednesday briefing: Daily UK Covid deaths worst since May <p>Total death toll in Britain passes 60,000 … Obama says Trump ‘jealous of Covid’s media coverage’ … the Muslim backlash against Emmanuel Macron</p>",Guardian,negative,absent,-0.0625,0.0,,
The missing six weeks: how Trump failed the biggest test of his life,The missing six weeks: how Trump failed the biggest test of his life <p>The president was aware of the danger from the coronavirus – but a lack of leadership has created an emergency of epic proportions</p>,Guardian,negative,absent,-0.0285714285714285,0.0,,
'We're making it up as we go along': how Trump's America failed the Covid test,"'We're making it up as we go along': how Trump's America failed the Covid test <p>Coronavirus has been allowed to run amok by governors and the president, spreading inexorably into the rural heart of America</p>",Guardian,negative,absent,-0.0285714285714285,0.0,,
CQC under fire from care home body for failing to report true death toll to ministers,"CQC under fire from care home body for failing to report true death toll to ministers <p>Damning letter says lack of proper data masked seriousness of the situation </p><ul><li><a href=""https://www.theguardian.com/world/live/2020/may/08/coronavirus-live-news-trump-cdc-guidance-russia-germany-france-brazil-who-190000-could-die-in-africa"">Coronavirus - latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">Coronavirus - see all our coverage</a></li></ul>",Guardian,negative,absent,-0.0526315789473684,0.0,,
Trump claims victory over Covid,"Trump claims victory over Covid <p><strong>Tuesday: </strong>only four days after being diagnosed with coronavirus, a contagious Donald Trump emerges from hospital casting himself as a victor over Covid</p><ul><li><a href=""https://www.theguardian.com/australia-news/2020/oct/02/us-election-briefing-for-australia-sign-up-for-our-daily-email-newsletter?CMP=cvau_sfl"">Sign up to get the US election briefing for Australia delivered to your email inbox every weekday at 5pm</a></li></ul>",Guardian,positive,absent,0.0212765957446808,0.0,,
The acid test of Trump's maverick leadership has come – can he save himself?,"The acid test of Trump's maverick leadership has come – can he save himself? <p>The president’s response to the coronavirus pandemic has been ‘haphazard’, from a cascade of false statements to a public address that fueled anxiety</p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,positive,absent,0.0222222222222222,0.0,,
Tuesday briefing: 'Occasions of contagion' – Italy in lockdown,Tuesday briefing: 'Occasions of contagion' – Italy in lockdown <p>Coronavirus: Trump hints at ‘major’ economic measures … Windrush victims still hurting … and an interview with Labour leadership candidate Lisa Nandy</p>,Guardian,positive,absent,0.0357142857142857,0.0,,
