headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords,outlet,text,pillar_name,type,article_id,month,resp_pos_count,resp_neg_count,resp_norm_pos,resp_norm_neg,resp_net_score,resp_direction,resp_intensity,resp_pos_terms,resp_neg_terms,sci_pos_count,sci_neg_count,sci_norm_pos,sci_norm_neg,sci_net_score,sci_direction,sci_intensity,sci_pos_terms,sci_neg_terms
Biden Implores Trump to Confront a Surging Pandemic,2020-11-14 00:22:39+00:00,President Trump broke his near-total silence on the coronavirus on Friday with an appearance in the Rose Garden in which he threatened to deny New York access to a vaccine.,https://www.nytimes.com/2020/11/13/us/politics/biden-trump-coronavirus-transition.html,1271,President Trump broke his near-total silence on the coronavirus on Friday with an appearance in the Rose Garden in which he threatened to deny New York access to a vaccine.,Washington,U.S.,Politics,News,By Michael D. Shear,,NYT,Biden Implores Trump to Confront a Surging Pandemic President Trump broke his near-total silence on the coronavirus on Friday with an appearance in the Rose Garden in which he threatened to deny New York access to a vaccine.,,,,2020-11,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
How Trump and Bolsonaro Broke Latin America’s Covid-19 Defenses,2020-10-27 07:00:22+00:00,"The two presidents drove out 10,000 Cuban doctors and nurses. They defunded the region’s leading health agency. They wrongly pushed hydroxychloroquine as a cure.",https://www.nytimes.com/2020/10/27/world/trump-bolsonaro-coronavirus-latin-america.html,3336,"The two presidents drove out 10,000 Cuban doctors and nurses. They defunded the region’s leading health agency. They wrongly pushed hydroxychloroquine as a cure.",Foreign,World,,News,By David D. Kirkpatrick and José María León Cabrera,,NYT,"How Trump and Bolsonaro Broke Latin America’s Covid-19 Defenses The two presidents drove out 10,000 Cuban doctors and nurses. They defunded the region’s leading health agency. They wrongly pushed hydroxychloroquine as a cure.",,,,2020-10,0,0,0.0,0.0,0.0,absent,0.0,,,0,1,0.0,27.777777777777775,-0.027777777777777776,negative,0.027777777777777776,,hydroxychloroquine
The Trump Administration Shut a Vaccine Safety Office Last Year. What’s the Plan Now?,2020-10-23 19:35:38+00:00,Experts say plans to track coronavirus vaccines in the U.S. are fragmented: “We don’t even know who’s in charge.”,https://www.nytimes.com/2020/10/23/health/covid-vaccine-safety.html,1782,The office was dedicated to the long-term safety of vaccines. Experts say plans to track coronavirus vaccines are fragmented and “behind the eight ball.”,Science,Health,,News,By Carl Zimmer,,NYT,The Trump Administration Shut a Vaccine Safety Office Last Year. What’s the Plan Now? The office was dedicated to the long-term safety of vaccines. Experts say plans to track coronavirus vaccines are fragmented and “behind the eight ball.”,,,,2020-10,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
Coronavirus Briefing: What Happened Today,2020-10-08 23:40:04+00:00,The coronavirus treatment President Trump praised as his “cure” was created using a cell line derived from an aborted fetus.,https://www.nytimes.com/2020/10/08/us/08coronavirus-today.html,1233,The coronavirus treatment President Trump praised as his “cure” was created using a cell line derived from an aborted fetus.,NewsDesk,U.S.,,briefing,By Jonathan Wolfe,,NYT,Coronavirus Briefing: What Happened Today The coronavirus treatment President Trump praised as his “cure” was created using a cell line derived from an aborted fetus.,,,,2020-10,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
Trump’s Covid Treatments Were Tested in Cells Derived From Fetal Tissue,2020-10-08 23:17:25+00:00,The antibody cocktail that President Trump had called a “cure” was developed using a practice his administration had moved to restrict.,https://www.nytimes.com/2020/10/08/health/trump-covid-fetal-tissue.html,1143,"The “cell lines” used to develop monoclonal antibodies, as well as remdesivir and vaccines, began with fetal tissue decades ago.",Science,Health,,News,By Apoorva Mandavilli and Nathalia Holt,,NYT,"Trump’s Covid Treatments Were Tested in Cells Derived From Fetal Tissue The “cell lines” used to develop monoclonal antibodies, as well as remdesivir and vaccines, began with fetal tissue decades ago.",,,,2020-10,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
"Trump May Have Covid, but Many of His Supporters Still Scoff at Masks",2020-10-06 21:22:50+00:00,"They echo misinformation that the president has spread for much of the year, as he has sought to minimize the threat of the virus.",https://www.nytimes.com/2020/10/06/us/politics/trump-voters-face-masks.html,1767,"They echo misinformation that the president has spread for much of the year, as he has sought to minimize the threat of the virus.",Politics,U.S.,Politics,News,By Trip Gabriel,,NYT,"Trump May Have Covid, but Many of His Supporters Still Scoff at Masks They echo misinformation that the president has spread for much of the year, as he has sought to minimize the threat of the virus.",,,,2020-10,0,0,0.0,0.0,0.0,absent,0.0,,,0,1,0.0,27.027027027027028,-0.02702702702702703,negative,0.02702702702702703,,misinformation
"Trump Tests Positive for Coronavirus, and the World Shudders",2020-10-02 06:51:10+00:00,The news of an American president contracting a potentially lethal virus carried global repercussions beyond that of any other world leader.,https://www.nytimes.com/2020/10/02/world/reactions-trump-positive-covid-test.html,1431,The news of an American president contracting a potentially lethal virus carried global repercussions beyond that of any other world leader.,Foreign,World,,News,By Mark Landler,,NYT,"Trump Tests Positive for Coronavirus, and the World Shudders The news of an American president contracting a potentially lethal virus carried global repercussions beyond that of any other world leader.",,,,2020-10,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
"Undercutting Scientists, Trump Says Tightening Covid-19 Vaccine Guidelines ‘Sounds Like a Political Move’",2020-09-23 09:10:28+00:00,President Trump suggested that the Food and Drug Administration’s new guidelines might have been driven by politics. Catch up on the latest.,https://www.nytimes.com/2020/09/23/world/covid-19-coronavirus.html,4563,"Dr. Anthony S. Fauci and three other top U.S. health officials told lawmakers they would take a vaccine approved by the F.D.A. Johnson & Johnson announced plans to enroll 60,000 people in a major vaccine trial. Israel will tighten its coronavirus restrictions on Friday.",Foreign,World,,News,,,NYT,"Undercutting Scientists, Trump Says Tightening Covid-19 Vaccine Guidelines ‘Sounds Like a Political Move’ Dr. Anthony S. Fauci and three other top U.S. health officials told lawmakers they would take a vaccine approved by the F.D.A. Johnson & Johnson announced plans to enroll 60,000 people in a major vaccine trial. Israel will tighten its coronavirus restrictions on Friday.",,,,2020-09,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
Health Officials Tiptoe Around Trump’s Coronavirus Vaccine Timeline,2020-09-20 12:02:04+00:00,U.S. officials sidestepped President Trump’s declaration. Britain seeks to avert a lockdown with threats of huge fines. Here’s the latest.,https://www.nytimes.com/2020/09/20/world/covid-coronavirus.html,4705,New Zealand says it will ease its virus measures. Lockdowns return as Europe faces a second wave.,Foreign,World,,News,,,NYT,Health Officials Tiptoe Around Trump’s Coronavirus Vaccine Timeline New Zealand says it will ease its virus measures. Lockdowns return as Europe faces a second wave.,,,,2020-09,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
"After Criticism, C.D.C. Reverses Covid-19 Guidelines on Testing People Who Were Exposed",2020-09-18 09:07:46+00:00,The agency now says that people who have had close contact with an infected person but have no symptoms should be tested. Catch up on the latest.,https://www.nytimes.com/2020/09/18/world/covid-coronavirus.html,3590,President Trump acknowledged that an authorized vaccine for “every American” may not be distributed until next year. An Iranian official says the country has become a “red zone” as cases and deaths surge.,Foreign,World,,News,,,NYT,"After Criticism, C.D.C. Reverses Covid-19 Guidelines on Testing People Who Were Exposed President Trump acknowledged that an authorized vaccine for “every American” may not be distributed until next year. An Iranian official says the country has become a “red zone” as cases and deaths surge.",,,,2020-09,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
